,link,category,title,information,İşlemci Tipi,Ram (Sistem Belleği),Ekran Kartı Tipi,SSD Kapasitesi,Ekran Kartı Hafızası,İşlemci Modeli,İşlemci Nesli,Kapasite,İşletim Sistemi,_id
0,https://www.trendyol.com//casper/nirvana-c350-4000-4c00e-14-intel-core-celeron-n4000-4gb-ram-120gb-ssd-w10-home-p-35664279,Laptop,Casper Nirvana C350.4000-4C00E 14'' Intel Core Celeron N4000 4GB RAM 120GB SSD W10 Home ,"15 gün içinde ücretsiz iade.Detaylı bilgi için tıklayınBu ürün ASLAN TELEKOM tarafından gönderilecektir.Bellek Hızı 1866 MHzBluetooth Özelliği VarCihaz Ağırlığı 2 kg ve AltıDokunmatik Ekran YokEkran Boyutu 14 inçEkran Kartı Bellek Tipi OnboardEkran Kartı Hafızası PaylaşımlıEkran Kartı Tipi Dahili Ekran KartıEkran Kartı Intel UHD Graphics 600Ekran Panel Tipi TNEMMC Kapasitesi YokHarddisk Kapasitesi YokHDMI Varİşlemci Cache 4 MB Cacheİşlemci Hızı 1,10 GHzİşlemci Nesli 4.Nesilİşlemci Tipi Intel Celeronİşlemci N4000İşletim Sistemi Windows 10 Home ValueKart Okuyucu VarKlavye Q Klavye, Q TürkçeMax Ekran Çözünürlüğü 1366 x 768Optik Sürücü YokParmak İzi Okuyucu YokRam (Sistem Belleği) 4 GBRam Tipi DDR4Renk Gri, GümüşSSD Kapasitesi 120 GBÜrün Modeli NotebookWebcam VarBu üründen yalnızca 10 adet sipariş verilebilir. 10 adetin üzerindeki siparişleri Trendyol iptal etme hakkını saklı tutar.Kampanya fiyatından satılmak üzere 5 adetten az stok bulunmaktadır.İncelemiş olduğunuz ürünün satış fiyatını satıcı belirlemektedir.",Intel Celeron,4 GB,Dahili,120 GB,Paylaşımlı,N4000,4. Nesil,Yok,Windows,5fa5626407a5d2c47198080f
1,https://www.trendyol.com//apple/macbook-air-intel-core-i5-5350u-8gb-128gb-ssd-macos-sierra-13-3-tasinabilir-bilgisayar-mqd32tu-a-p-2166330,Laptop,"Apple MacBook Air Intel Core i5 5350U 8GB 128GB SSD MacOS Sierra 13.3"" Taşınabilir Bilgisayar MQD32TU/A ","15 gün içinde ücretsiz iade.Detaylı bilgi için tıklayınBu ürün KanyonTeknoloji tarafından gönderilecektir.10/100 Ethernet YokBellek Hızı 1600 MHzBluetooth Özelliği VarBoyutlar 325 x 227 x 17 mmCihaz Ağırlığı 2 kg ve AltıDokunmatik Ekran YokEkran Boyutu  13,3 inçEkran Kartı Bellek Tipi OnboardEkran Kartı Hafızası  PaylaşımlıEkran Kartı İşlemcisi Intel HD GraphicsEkran Kartı Tipi  Dahili Ekran KartıEkran Kartı  Intel HD GraphicsEkran Özelliği  HDEMMC Kapasitesi YokHarddisk Kapasitesi YokHDD Hızı  YokHDMI  Yokİşlemci Cache 3 MB Cacheİşlemci Hızı 1,8 GHzİşlemci Nesli 5.Nesilİşlemci Tipi Intel Core i5İşlemci 5350Uİşletim Sistemi  macOSKart Okuyucu VarKlavye  AydınlatmalıKullanım Amacı  Ev Kullanıcıları - Öğrenci, Ofis ve İşMax Ekran Çözünürlüğü 1600 x 900Optik Sürücü YokPaket İçeriği NotebookParmak İzi Okuyucu  YokRam (Sistem Belleği)  8 GBRam Tipi  DDR3Renk  GümüşSSD Kapasitesi  128 GBŞarjlı Kullanım Süresi 6 Saat ve ÜstüUSB 3.0 2USB 3.1 YokÜrün Modeli NotebookWebcam VarGaranti Süresi 24 AyBu üründen yalnızca 1 adet sipariş verilebilir. 1 adetin üzerindeki siparişleri Trendyol iptal etme hakkını saklı tutar.Kampanya fiyatından satılmak üzere 5 adetten fazla stok sunulmuştur.İncelemiş olduğunuz ürünün satış fiyatını satıcı belirlemektedir.",Intel Core i5,8 GB,Dahili,128 GB,,5350U,5. Nesil,,Mac Os,5fa5626507a5d2c471980810
2,https://www.trendyol.com//dell/latitude-5500-i5-8365u-8g-256g-ssd-wi-fi-15-6-windows-10-home-p-51495028,Laptop,Dell Latıtude 5500 I5-8365u 8g 256g Ssd Wi-fi 15.6 Windows 10 Home N017L550015EAEMEA_WW ,15 gün içinde ücretsiz iade.Detaylı bilgi için tıklayınBu ürün OS Bilişim tarafından gönderilecektir.Distribütör garantili sıfır ürün.Bu üründen yalnızca 10 adet sipariş verilebilir. 10 adetin üzerindeki siparişleri Trendyol iptal etme hakkını saklı tutar.Kampanya fiyatından satılmak üzere 5 adetten fazla stok sunulmuştur.İncelemiş olduğunuz ürünün satış fiyatını satıcı belirlemektedir.,Intel Core i5,8 GB,Dahili,256 GB,Paylaşımlı,8365U,8. Nesil,8 GB,Windows,5fa5626707a5d2c471980811
3,https://www.trendyol.com//hp/15-da2088nt-1s7y9ea-intel-core-i5-10210u-8gb-512-ssd-mx130-15-6-fhd-freedos-p-52199778,Laptop,"HP 15-DA2088NT 1S7Y9EA Intel Core I5 10210U 8GB 512 SSD MX130 15.6"" FHD Freedos ",15 gün içinde ücretsiz iade.Detaylı bilgi için tıklayınBu ürün TrendShop tarafından gönderilecektir.Bu üründen yalnızca 10 adet sipariş verilebilir. 10 adetin üzerindeki siparişleri Trendyol iptal etme hakkını saklı tutar.Kampanya fiyatından satılmak üzere 5 adetten az stok bulunmaktadır.İncelemiş olduğunuz ürünün satış fiyatını satıcı belirlemektedir.,Intel Core i5,8 GB,Harici,512 GB,2 GB,10210U,10. Nesil,512 GB,Free Dos,5fa5626807a5d2c471980812
4,https://www.trendyol.com//huawei/matebook-d-15-amd-ryzen-5-3500u-8gb-256gb-ssd-windows-10-home-15-6-fhd-tasinabilir-bilgisayar-p-40264888,Laptop,"Huawei Matebook D 15 AMD Ryzen 5 3500U 8GB 256GB SSD Windows 10 Home 15.6"" FHD Taşınabilir Bilgisayar HWMATEBOOKD15 ","15 gün içinde ücretsiz iade.Detaylı bilgi için tıklayınBu ürün KimSatar tarafından gönderilecektir.10/100 Ethernet VarBellek Hızı 2400 MHzBellek Yuvası YokBluetooth Özelliği VarCihaz Ağırlığı 2 kg ve AltıDokunmatik Ekran YokEkran Boyutu 15,6 inçEkran Kartı Bellek Tipi OnboardEkran Kartı Hafızası PaylaşımlıEkran Kartı İşlemcisi AMD RadeonEkran Kartı Tipi Dahili Ekran KartıEkran Kartı AMD Radeon Vega 8Ekran Özelliği Full HDEkran Panel Tipi IPSEMMC Kapasitesi YokGaranti Tipi Resmi Distribütör GarantiliHarddisk Kapasitesi YokHDD Hızı YokHDMI Varİşlemci Cache 3 MB L3 Cacheİşlemci Hızı 2,1 GHzİşlemci Nesli Ryzenİşlemci Tipi AMD Ryzen 5İşlemci 3500Uİşletim Sistemi Windows 10 HomeKart Okuyucu YokKlavye Q İngilizce, Q KlavyeKullanım Amacı Ev Kullanıcıları - Öğrenci, Ofis ve İşMax Ekran Çözünürlüğü 1920 x 1080Optik Sürücü YokPaket İçeriği NotebookParmak İzi Okuyucu VarPil 3 HücreliRam (Sistem Belleği) 8 GBRam Tipi DDR4Renk Gri, GriSSD Kapasitesi 256 GBŞarjlı Kullanım Süresi 6 Saat ve ÜstüUsb 2.0 2USB 3.0 1USB 3.1 YokÜrün Modeli NotebookWebcam VarDiğerGaranti Süresi (Ay) 24Bu üründen yalnızca 10 adet sipariş verilebilir. 10 adetin üzerindeki siparişleri Trendyol iptal etme hakkını saklı tutar.Kampanya fiyatından satılmak üzere 5 adetten az stok bulunmaktadır.İncelemiş olduğunuz ürünün satış fiyatını satıcı belirlemektedir.",AMD Ryzen 5,8 GB,Dahili,250 GB,Paylaşımlı,3500U,Ryzen,256 GB,Windows,5fa5626a07a5d2c471980813
5,https://www.trendyol.com//hp/250-g7-1q3e7es-intel-core-i3-1005g1-4gb-256gb-ssd-dahili-15-6-windows-10-home-p-45281542,Laptop,"HP 250 G7 1Q3E7ES Intel Core i3 1005G1 4GB 256GB SSD Dahili 15.6"" Windows 10 Home ","15 gün içinde ücretsiz iade.Detaylı bilgi için tıklayınBu ürün Betaplus tarafından gönderilecektir.10/100 Ethernet varBellek Hızı 2666 MHzBellek Yuvası 1Bluetooth Özelliği VarBoyutlar 37, 6 x 24, 6 x 2, 25 cmCihaz Ağırlığı 2 - 4 kgDokunmatik Ekran YokEkran Boyutu 15,6 inçEkran Kartı Bellek Tipi OnboardEkran Kartı Hafızası PaylaşımlıEkran Kartı İşlemcisi Intel® UHD GraphicsEkran Kartı Tipi Dahili Ekran KartıEkran Kartı Intel® UHD GraphicsEkran Özelliği HD EkranPanel Tipi SVAEMMC Kapasitesi YokGaranti Tipi Resmi Distribütör GarantiliHarddisk Kapasitesi YokHDD Hızı YokHDMI Varİşlemci Cache 4 MBCache İşlemci Hızı 1,20 GHzİşlemci Nesli 8.Nesilİşlemci Tipi Intel Core i3İşlemci i3-1005G1İşletim Sistemi Windows 10 HomeKart Okuyucu VarKlavye Q Klavye, Q TürkçeKullanım Amacı Ofis ve İşMaksimum İşlemci Hızı 3,4 GHzMax Ekran Çözünürlüğü 1366 x 768Optik Sürücü YokPaket İçeriği NotebookParmak İzi Okuyucu YokPil 3 HücreliRam (Sistem Belleği) 4 GBRam Tipi DDR4Renk Siyah, SiyahSSD Kapasitesi 256 GBŞarjlı Kullanım Süresi 4 - 6 SaatUsb 2.0 1 USB3.0 Yok USB 3.1 2 AdetÜrün Modeli NotebookWebcam VarGaranti Süresi (Ay) 24Bu butikte indirim kuponları/kodları geçerli değildir.Bu üründen yalnızca 1 adet sipariş verilebilir. 1 adetin üzerindeki siparişleri Trendyol iptal etme hakkını saklı tutar.Kampanya fiyatından satılmak üzere 100 adetten fazla stok sunulmuştur.İncelemiş olduğunuz ürünün satış fiyatını satıcı belirlemektedir.",Intel Core i3,4 GB,Dahili,256 GB,Paylaşımlı,1005G1,10. Nesil,Yok,Windows,5fa5626b07a5d2c471980814
6,https://www.trendyol.com//lenovo/v15-ada-82c7001jtx-amd-ryzen-5-3500u-8gb-512-ssd-freedos-15-6-tasinabilir-bilgisayar-p-42379256,Laptop,"LENOVO V15-ADA 82C7001JTX AMD Ryzen 5 3500U 8GB 512 SSD Freedos 15.6"" Taşınabilir Bilgisayar ","15 gün içinde ücretsiz iade.Detaylı bilgi için tıklayınBu ürün Techburada tarafından gönderilecektir.Özellikler10/100 ethernet yokBellek hızı 2400 mhzBellek yuvası 2Bluetooth özelliği varBoyutlar 362.2mm x 251.5mm x 19.9mmCihaz ağırlığı 2 kg ve altıDokunmatik ekran yokEkran boyutu 15,6 inçEkran kartı bellek tipi onboardEkran kartı hafızası paylaşımlıEkran kartı işlemcisi amd radeonEkran kartı tipi dahili ekran kartıEkran kartı paylaşımlıEkran özelliği hdEkran panel tipi tnEmmc kapasitesi yokGaranti tipi resmi distribütör garantiliHarddisk kapasitesi yokHdd hızı yokHdmı varIşlemci cache 4 mb l3 cacheIşlemci hızı 2,6 ghzIşlemci nesli ryzenIşlemci tipi amd ryzen 5Işlemci 3500uIşletim sistemi yok (free dos)Kart okuyucu varKlavye q türkçeKullanım amacı ofis ve işMaksimum işlemci hızı 3,5 ghzMax ekran çözünürlüğü 1366*728Optik sürücü yokPaket içeriği notebookParmak izi okuyucu yokPil 2 hücreliRam (sistem belleği) 8 gbRam tipi ddr4Renk griSsd kapasitesi 512 gbŞarjlı kullanım süresi 4 - 6 saatUsb 2.0 1Usb 3.0 yokUsb 3.1 2 adetÜrün modeli notebookWebcam vardiğerGaranti süresi (ay) 24Bu üründen yalnızca 10 adet sipariş verilebilir. 10 adetin üzerindeki siparişleri Trendyol iptal etme hakkını saklı tutar.Kampanya fiyatından satılmak üzere 10 adetten fazla stok sunulmuştur.İncelemiş olduğunuz ürünün satış fiyatını satıcı belirlemektedir.",AMD Ryzen 5,8 GB,Dahili,512 GB,Paylaşımlı,3500U,Ryzen,Yok,Free Dos,5fa5626c07a5d2c471980815
7,https://www.trendyol.com//hp/15-dw2028nt-intel-core-i3-1005g1-4gb-256gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-235r0ea-p-51460967,Laptop,"HP 15-DW2028NT Intel Core i3 1005G1 4GB 256GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar 235R0EA ","15 gün içinde ücretsiz iade.Detaylı bilgi için tıklayınBu ürün Vizyon Bilgisayar tarafından gönderilecektir.Bellek Hızı 2666 MHzBluetooth Özelliği VarCihaz Ağırlığı 2 kg ve AltıDokunmatik Ekran YokEkran Boyutu 15,6 inçEkran Kartı Bellek Tipi OnboardEkran Kartı Hafızası PaylaşımlıEkran Kartı Tipi BelirtilmemişEkran Kartı Intel UHD GraphicsEkran Panel Tipi IPSEMMC Kapasitesi YokHarddisk Kapasitesi YokHDMI Varİşlemci Cache 4 MB Cacheİşlemci Nesli 10.Nesilİşlemci Tipi Intel Core i3İşlemci 1005G1İşletim Sistemi Yok (Free Dos)Kart Okuyucu VarKlavye Q TürkçeMaksimum İşlemci Hızı 3,4 GHzMax Ekran Çözünürlüğü 1366 x 768Optik Sürücü YokParmak İzi Okuyucu YokRam (Sistem Belleği) 4 GBRam Tipi DDR4Renk SiyahSSD Kapasitesi 256 GBTemel İşlemci Hızı 1,2 GHzÜrün Modeli NotebookWebcam VarDiğerGaranti Süresi (Ay) 24Bu üründen yalnızca 10 adet sipariş verilebilir. 10 adetin üzerindeki siparişleri Trendyol iptal etme hakkını saklı tutar.Kampanya fiyatından satılmak üzere 5 adetten az stok bulunmaktadır.İncelemiş olduğunuz ürünün satış fiyatını satıcı belirlemektedir.",Intel Core i3,4 GB,Dahili,256 GB,Paylaşımlı,1005G1,10. Nesil,256 GB,Free Dos,5fa5626e07a5d2c471980816
8,https://www.trendyol.com//asus/e410ma-bv185t-intel-celeron-n4020-4gb-128-ssd-windows-10-home-14-tasinabilir-bilgisayar-p-53541063,Laptop,"ASUS E410MA-BV185T Intel Celeron N4020 4GB 128 SSD Windows 10 Home 14"" Taşınabilir Bilgisayar ","15 gün içinde ücretsiz iade.Detaylı bilgi için tıklayınBu ürün TrendShop tarafından gönderilecektir.10/100 Ethernet VarBellek Hızı 2400 MHzBellek Yuvası 1Bluetooth Özelliği VarBoyutlar 14Cihaz Ağırlığı 2 kg ve AltıDokunmatik Ekran YokEkran Boyutu 14 inçEkran Kartı Bellek Tipi BelirtilmemişEkran Kartı Hafızası PaylaşımlıEkran Kartı İşlemcisi Intel HD GraphicsEkran Kartı Tipi Dahili Ekran KartıEkran Kartı Intel HD GraphicsEkran Özelliği HDEkran Panel Tipi TNEMMC Kapasitesi YokGaranti Tipi Resmi Distribütör GarantiliHarddisk Kapasitesi YokHDD Hızı BelirtilmemişHDMI Yokİşlemci Cache 2 MB Cacheİşlemci Nesli 4.Nesilİşlemci Tipi Intel Celeronİşlemci N4020İşletim Sistemi Windows 10 HomeKart Okuyucu YokKlavye Q Klavye, Q TürkçeKullanım Amacı Ev Kullanıcıları - ÖğrenciMaksimum İşlemci Hızı 2,8 GHzMax Ekran Çözünürlüğü 1366 x 768Optik Sürücü YokPaket İçeriği NotebookParmak İzi Okuyucu YokPil 2 HücreliRam (Sistem Belleği) 4 GBRam Tipi DDR4Renk Siyah, SiyahSSD Kapasitesi 128 GBŞarjlı Kullanım Süresi 3 Saat ve AltıTemel İşlemci Hızı 1,1 GHzUsb 2.0 1USB 3.0 1USB 3.1 1 AdetÜrün Modeli NotebookWebcam YokDiğerGaranti Süresi (Ay) 24Bu üründen yalnızca 10 adet sipariş verilebilir. 10 adetin üzerindeki siparişleri Trendyol iptal etme hakkını saklı tutar.Kampanya fiyatından satılmak üzere 10 adetten fazla stok sunulmuştur.İncelemiş olduğunuz ürünün satış fiyatını satıcı belirlemektedir.",Intel Celeron,4 GB,Dahili,128 GB,Paylaşımlı,N4000,5. Nesil,Yok,Windows,5fa5626f07a5d2c471980817
9,https://www.trendyol.com//apple/macbook-pro-mxk32tuv3-i5-16gb-256gb-ssd-13-silver-8-nesil-1-4ghz-3-9ghz-tboost-dizustu-bilgisayar-p-57243086,Laptop,"Apple Macbook Pro Mxk32tuv3 I5 16gb 256gb Ssd 13"" Silver 8.nesil 1.4ghz 3.9ghz Tboost Dizüstü Bilgisayar T07489 ","15 gün içinde ücretsiz iade.Detaylı bilgi için tıklayınBu ürün Teknoraks tarafından gönderilecektir.body,img,div img {width: 100%} Ürün Bilgileri Marka : APPLE Ürün Kategorisi : Tasinabilir Bilgisayar Ürün Modeli : Apple MacBook Pro MXK32TUV3 i5 16GB 256GB SSD 13"" Silver 8.Nesil 1.4Ghz 3.9Ghz TBoost İşlemci (CPU) : 1.4 GHz 4 çekirdekli 8. nesil Intel Core i5 işlemci, 3.9 GHz’e kadar Turbo Boost Ram : 16 GB 2133 MHz LPDDR3 bellek Ekran Boyutu : 13.3"" Retina ekran 2560 x 1600 çözünürlük Retina Ekran Ekran Kartı : Intel Iris Plus Graphics SSD / Harddisk : 256 GB SSD Üretim Yılı : 2020 Renk : Space Gray Garanti : Apple Türkiye Garantili Kutunun İçindekiler : 13 inç MacBook Pro, 61 W USB-C Güç Adaptörü, USB-C Şarj Kablosu (2 m) Teknoraks Code : T07489 Apple MacBook Pro Intel Core i5 16GB 256GB SSD macOS 13"" Taşınabilir Bilgisayar MXK32TUV3 Uzay GrisiBu üründen yalnızca 10 adet sipariş verilebilir. 10 adetin üzerindeki siparişleri Trendyol iptal etme hakkını saklı tutar.Kampanya fiyatından satılmak üzere 10 adetten fazla stok sunulmuştur.İncelemiş olduğunuz ürünün satış fiyatını satıcı belirlemektedir.",Intel Core i5,16 GB,Dahili,256 GB,Paylaşımsız,8250U,8. Nesil,256 GB,Mac Os,5fa5627007a5d2c471980818
